School Name,Link,Type
Abramson Science Academy,https://www.parchment.com/u/registration/1919988/account,2006-present
Algiers Technology Academy,https://www.parchment.com/u/registration/68389431/account,2006-present
Benjamin Franklin High School,https://www.parchment.com/u/registration/12725/account,2006-present
Booker T. Washington High School,https://www.parchment.com/u/registration/32067266/account,2006-present
Dr. Martin Luther King Charter School for Sci Tech,https://www.parchment.com/u/registration/50276716/account,2006-present
Einstein Charter High School at Sarah Towles Reed,https://www.parchment.com/u/registration/63542163/account,2006-present
Eleanor McMain Secondary School,https://www.parchment.com/u/registration/12732/account,2006-present
KIPP ,,2010-2018
Frederick A. Douglass High School - RSD,,2005-2010
Frederick A. Douglass High School,https://www.parchment.com/u/registration/12734/account,1990-2005
Francis T Nichols,https://www.parchment.com/u/registration/12734/account,1900-1990
G W Carver High School,https://www.parchment.com/u/registration/7445913/account,2006-present
Greater Gentilly,https://www.parchment.com/u/registration/68390121/account,2006-present
International High School of New Orleans,https://www.parchment.com/u/registration/611160/account,2006-present
JJIC Juvenile Justice (Travis Hill),https://www.parchment.com/u/registration/65804085/account,2006-present
John F. Kennedy High School,https://www.parchment.com/u/registration/12727/account,2006-present
John McDonogh High School,https://www.parchment.com/u/registration/12730/account,2006-present
Joseph S. Clark Senior High School,https://www.parchment.com/u/registration/196982/account,2006-present
L B Landry High School and O.P. Walker,https://www.parchment.com/u/registration/196984/account,2006-present
Livingston Collegiate Academy,https://www.parchment.com/u/registration/43382849/account,2006-present
McDonogh 35 Senior High School,https://www.parchment.com/u/registration/12731/account,1900-2018
Miller-McCoy Academy for Mathematics and Business,https://www.parchment.com/u/registration/50276681/account,2006-present
Morris Jeff Community School,https://www.parchment.com/u/registration/50279981/account,2006-present
New Orleans Charter Science and Mathematics HS,https://www.parchment.com/u/registration/12718/account,2006-present
Rooted School,https://www.parchment.com/u/registration/50276713/account,2006-present
Sojourner Truth Academy,https://www.parchment.com/u/registration/50278640/account,2006-present
Sophie B Wright Charter School,https://www.parchment.com/u/registration/50271785/account,2006-present
The Delores Taylor Arthur School for Young Men,https://www.parchment.com/u/registration/50271774/account,2006-present
The NET Charter High School Central City,https://www.parchment.com/u/registration/50271050/account,2006-present
The NET Charter High School East,https://www.parchment.com/u/registration/66293361/account,2006-present
The NET Charter High School Gentilly,https://www.parchment.com/u/registration/50278806/account,2006-present
The Willow School New Orleans (Lusher),https://www.parchment.com/u/registration/89914/account,2006-present
Thurgood Marshall,https://www.parchment.com/u/registration/68389921/account,2006-present
Walter L. Cohen High School,https://www.parchment.com/u/registration/3215507/account,2006-present
Warren Easton Senior High School,https://www.parchment.com/u/registration/218162/account,2006-present
Abramson Science Academy,https://www.parchment.com/u/registration/1919988/account,In School Before 2005
Alcee Fortier High School,https://www.parchment.com/u/registration/12724/account,In School Before 2005
Alfred Lawless Sr. High School,https://www.parchment.com/u/registration/12729/account,In School Before 2005
Benjamin Franklin High School,https://www.parchment.com/u/registration/12725/account,In School Before 2005
Booker T. Washington High School,https://www.parchment.com/u/registration/32067266/account,In School Before 2005
Einstein Charter High School at Sarah Towles Reed,https://www.parchment.com/u/registration/63542163/account,In School Before 2005
Eleanor McMain Secondary School,https://www.parchment.com/u/registration/12732/account,In School Before 2005
Frederick A. Douglass High School,https://www.parchment.com/u/registration/12734/account,In School Before 2005
G W Carver High School,https://www.parchment.com/u/registration/7445913/account,In School Before 2005
JJIC Juvenile Justice (Travis Hill),https://www.parchment.com/u/registration/65804085/account,In School Before 2005
John F. Kennedy High School,https://www.parchment.com/u/registration/12727/account,In School Before 2005
John McDonogh High School,https://www.parchment.com/u/registration/12730/account,In School Before 2005
Joseph S. Clark Senior High School,https://www.parchment.com/u/registration/196982/account,In School Before 2005
L B Landry High School and O.P. Walker,https://www.parchment.com/u/registration/196984/account,In School Before 2005
McDonogh 35 Senior High School,https://www.parchment.com/u/registration/12731/account,In School Before 2005
Orleans PM School,https://www.parchment.com/u/registration/68388729/account,In School Before 2005
Schawrz,https://www.parchment.com/u/registration/68389594/account,In School Before 2005
Sophie B Wright Charter School,https://www.parchment.com/u/registration/50271785/account,In School Before 2005
The Willow School New Orleans (Lusher),https://www.parchment.com/u/registration/89914/account,In School Before 2005
The Willow School New Orleans (Lusher),https://www.parchment.com/u/registration/89914/account,In School Before 2005
Walter L. Cohen High School,https://www.parchment.com/u/registration/3215507/account,In School Before 2005
Walter L. Cohen High School,https://www.parchment.com/u/registration/3215507/account,In School Before 2005
Warren Easton Senior High School,https://www.parchment.com/u/registration/218162/account,In School Before 2005
Warren Easton Senior High School,https://www.parchment.com/u/registration/218162/account,In School Before 2005